Audio Mean,Zero Crossings,Spectral Centroid,Rolloff,MFCC 1,MFCC 2,MFCC 3,MFCC 4,MFCC 5,MFCC 6,MFCC 7,MFCC 8,MFCC 9,MFCC 10,MFCC 11,MFCC 12,MFCC 13,MFCC 14,MFCC 15,MFCC 16,MFCC 17,MFCC 18,MFCC 19,MFCC 20,Genre
0.00031346263,108341,3037.93946546977,6215.998586215869,-67.22779,65.11035,-10.661837,12.174262,-3.3054988,9.9288025,-1.9882532,5.4251866,-6.1745167,1.1107883,-10.310543,3.4266706,-3.0022247,8.2117405,-3.3235145,1.2686619,-8.473717,-2.0295534,-2.948513,0.110811114,Hip-Hop
6.85817e-05,66268,2413.923643609224,5434.975468780234,-106.442795,87.23891,12.154018,24.139654,-0.9605934,12.834739,-5.554191,17.365667,-6.263702,-0.06514209,-1.8270041,8.876317,3.4457154,7.296273,0.21796836,0.9232975,-4.110129,-0.5638762,-1.5945104,1.3540266,Hip-Hop
2.3943052e-05,98403,2349.568549829639,4315.856035322667,-17.238314,94.441025,-48.614655,32.370735,-4.5496087,2.2207887,-2.2719269,2.6817656,-5.2884846,0.5131799,-9.243728,2.2398233,-6.416462,2.6770446,-5.104804,-0.9116383,-3.2087271,3.0430913,-1.0360951,3.8826377,Pop
9.98485e-06,29326,1748.0280620372573,3870.100835755814,-278.29404,101.56156,36.448536,35.574974,26.108019,11.701319,10.161723,5.567878,0.6882512,7.0430436,-4.7764807,-1.6020981,-6.836454,2.890945,-8.279053,1.2474723,-5.21794,-0.75771093,-6.3395343,-1.1771086,Folk
9.728277e-07,40947,1655.1685683003843,3317.7324445857557,-208.47072,116.88807,-1.9131749,26.101604,9.7050905,-4.208767,7.2965064,-5.156385,-0.018358808,2.2233095,-3.328424,-3.3785598,-4.834402,3.1729052,-2.131587,5.0969048,-0.18043469,3.1112566,-8.708204,-1.095345,Folk
-0.007504798,59699,1707.2844952478756,3543.688047661696,7.8254275,126.72763,-28.776997,31.722672,11.848885,12.930895,-2.3363447,14.696339,-1.103611,8.896355,-0.5513382,7.1716156,-0.2381911,10.887226,5.995779,6.324666,-1.199849,8.384489,8.21125,4.858785,Experimental
3.6287433e-06,66618,1876.6896009047593,3949.2011197211204,-26.035337,136.70479,-60.70475,43.51167,-37.36043,32.5236,-4.4787755,13.879831,11.8907795,7.4129953,12.105109,12.440506,3.174804,11.560918,-2.8630083,1.8054823,-0.11071697,-1.8999779,-0.76526755,-1.5991279,Rock
1.1969516e-06,58530,1899.9801373095602,3713.9275423882546,-139.79813,97.222786,-23.496054,26.184776,-8.0769205,-3.1728957,-22.384352,-6.439993,-20.462725,-5.460434,-16.584967,-4.7470336,-8.747166,-6.1191006,-8.194812,-8.715629,-9.203711,-1.9783974,-6.316963,-8.002352,Folk
4.71718e-05,51105,1583.1726051936382,3205.82858794055,-198.12065,120.766945,-29.765718,35.848312,-10.46617,5.341462,-13.984344,-5.1941,-16.39181,-7.7591267,-11.757423,-4.985553,-7.843092,-7.083409,-13.87482,-8.455164,-10.47405,-8.713095,-9.4504175,-9.767638,Folk
-1.8016408e-05,48273,1546.7208084661454,3086.298004244872,-184.6369,119.08403,-26.898117,29.468653,-8.535388,3.9835083,-12.648377,-1.4624481,-17.029974,-5.573283,-13.370793,-2.4671543,-8.804814,-9.332294,-9.16999,-5.5435605,-10.000346,-6.705954,-8.2793665,-6.848766,Folk
-1.4687539e-05,35792,1142.9801231561494,2186.662584418571,-295.78143,126.53938,-10.85426,17.657425,-0.61295164,-4.7712584,-7.7440596,-6.2373085,-10.123612,-7.444544,-7.8562903,-7.5593224,-5.779985,-7.714071,-12.414266,-6.5608964,-7.4577484,-7.537293,-5.1396832,-3.664961,Folk
-9.431456e-06,64600,1918.4445630520092,3837.7722234157145,-122.44348,103.25128,-30.958332,41.014984,-10.506732,1.7987727,-12.59625,-2.698026,-11.133225,-6.3116407,-16.95793,-7.8933406,-7.5554986,-11.020071,-8.616742,-4.3999014,-7.304471,-7.9193892,-13.152506,-9.033084,Folk
1.9439927e-05,34750,1347.3679137112763,2449.973127511377,-267.32883,123.97166,1.7798048,13.32392,-19.607197,-17.40917,-21.426874,-13.94852,-23.457413,-12.903322,-18.579641,-13.230009,-2.9963925,3.2187636,2.341193,3.0953844,-1.9660826,-1.848597,-0.6149798,2.151621,Folk
